user,ratings,date,location,help,review
susan,5.0,"January 3, 2021",the United States,2 people found this helpful,"susan5.0 out of 5 starsYUMReviewed in the United States on January 3, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  love it! spicy and flavorable!2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Loudkitty,5.0,"February 11, 2021",the United States,2 people found this helpful,"Loudkitty5.0 out of 5 starsTaste of kimchi !Reviewed in the United States on February 11, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I love kimchi so I love this seoul sisters kimchi seasoning! I got second bottle.  So good!2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
I.S.,5.0,"April 1, 2021",the United States,One person found this helpful,"I.S.5.0 out of 5 starsDelicious 😋Reviewed in the United States on April 1, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  It was spicier than expected which I like 👍I used in my noodle soup & loved it! I can't wait to try with many other dishes.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Donna Till,5.0,"April 13, 2021",the United States,One person found this helpful,"Donna Till5.0 out of 5 starsNeeds to be in every kitchenReviewed in the United States on April 13, 2021Size: 3.52 Ounce (Pack of 2)Verified Purchase  This is so good and the flavor adds so much to so many of my dishes !!!!’a delicious way to add to all your dishesOne person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Emily,5.0,"October 21, 2020",the United States,2 people found this helpful,"Emily5.0 out of 5 starsAMAZING! Especially on tomatoesReviewed in the United States on October 21, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  This stuff is simply the best.2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Carefree Caribou,5.0,"May 5, 2021",the United States,One person found this helpful,"Carefree Caribou5.0 out of 5 starsSalt, Pepper, and Korean Kimchi Powder Seasoning!Reviewed in the United States on May 5, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I love this blend. I use it on almost everything. Really!!!! It has a little heat for me and not so much that my will not eat it. Great flavor. I just bought my second canister.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Amazon Customer,5.0,"April 20, 2021",the United States,0,"Amazon Customer5.0 out of 5 starsAdds enough kick to foodsReviewed in the United States on April 20, 2021Size: 3.52 Ounce (Pack of 2)Verified Purchase  We have little kids so we tend to make foods not spicy so everyone can eat (and mommy/daddy doesn't have to make two different dishes). This Kimchi Seasoning allows us to add enough kick for adults! We have tried the seasoning on pizza, fries, bulgogi, stir fries, pasta etc. Yum!          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
D,5.0,"July 11, 2020",the United States,2 people found this helpful,"D5.0 out of 5 starsGreat!!Reviewed in the United States on July 11, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  Great product, good for a kimchi lover. Taste as the real kimchi. Not too salty and slightly spicy. I’ve had it on rice and in pizza, and plan on other instant ramen or burger. I am pretty sure it will be greatly match with other foods. This is a great deal. I would happily pay more and buy it again. Hope there will be other flavors.2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Highpines,5.0,"March 15, 2021",the United States,One person found this helpful,"Highpines5.0 out of 5 starsVery versatile seasoning.Reviewed in the United States on March 15, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  this seasoning is very versatile. I’ve been using it in soups and stews for an added depth of flavor. I just added some to my BBQ dry rub and it turned out great.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Linda Loc,5.0,"June 3, 2021",the United States,0,"Linda Loc5.0 out of 5 starsLoved itReviewed in the United States on June 3, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I love the product and the spiciness brings the kimchi to the table and thank you          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Mary Rundles ,5.0,"September 4, 2020",the United States,2 people found this helpful,"Mary Rundles 5.0 out of 5 starsBest Spice EverReviewed in the United States on September 4, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  My family and I love spicy and this Kimchi spice was exactly what we were looking for. I wished it was sold in larger bottles that's the only dislike. Producing larger bottles would really be appreciated in our home2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Bajatrvlr,5.0,"June 2, 2021",the United States,0,"Bajatrvlr5.0 out of 5 starsI like it... A lot!Reviewed in the United States on June 2, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Well, I've found a new staple. Great, just another thing I have to have.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Soltra89,3.0,"May 14, 2021",the United States,0,"Soltra893.0 out of 5 starsNot sour enough.Reviewed in the United States on May 14, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I like this seasoning but it doesn't taste like kimchi. It's not sour enough.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Nichole Denton,5.0,"June 3, 2021",the United States,0,"Nichole Denton5.0 out of 5 starsYummyReviewed in the United States on June 3, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  This stuff is amazing. Yummy tangy kimchi taste with plenty of heat.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
sandie wilson,5.0,"April 18, 2021",the United States,0,"sandie wilson5.0 out of 5 starsThe flavor was great and versatile.Reviewed in the United States on April 18, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Kimchi powder is spicy so taste it before adding to food. The flavor is nice. I’ve only tried it on the Skinny Noodles but it brings out the flavor of the noodles.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
JAE YOO,5.0,"March 30, 2021",the United States,One person found this helpful,"JAE YOO5.0 out of 5 starsVery usefulReviewed in the United States on March 30, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  This is good with pork belly BBQ or Udon or Ramen. I think this can work for any food if you want to add some spiciness.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
MsKuttinUp,5.0,"June 15, 2021",the United States,0,"MsKuttinUp5.0 out of 5 stars🙏🏼Reviewed in the United States on June 15, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  This Has become my EVERYTHING seasoning!!I have to buy another one to keep at work because the first purchase... stays in my bag. Less I'll have to carry around.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Bradford A Baldus,5.0,"September 17, 2020",the United States,2 people found this helpful,"Bradford A Baldus5.0 out of 5 starsYum!Reviewed in the United States on September 17, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  Yum!  So versatile.2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Sherry D,5.0,"April 9, 2021",the United States,One person found this helpful,"Sherry D5.0 out of 5 starsLove it.Reviewed in the United States on April 9, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  This is very tasty and pleasingly spicy without being blistering hot.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Maros Kocan,5.0,"April 14, 2021",the United States,0,"Maros Kocan5.0 out of 5 starsWowReviewed in the United States on April 14, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I was never before into any spice but after this experience I am addicted          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
vxttomxv,5.0,"April 28, 2021",the United States,One person found this helpful,"vxttomxv5.0 out of 5 starsReal kimchi flavor spiceReviewed in the United States on April 28, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  The most authentic kimchi flavor a powdered spice can express. Beware, this is not a spice for making kimchi. Kimchi needs a proper fermentation process.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Mike chung,4.0,"May 17, 2021",the United States,0,"Mike chung4.0 out of 5 starsBig savory and a little kickReviewed in the United States on May 17, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I like a little kick at the end. It adds more savory flavor when I use almost every food such as ramen , fried egg, omelet, stir fried vegetables, fried rice, and marinated steaks as well! It will be one of my buy again lists! Thanks          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Joseph Smith,5.0,"June 4, 2021",the United States,0,"Joseph Smith5.0 out of 5 starsI put this on everything.Reviewed in the United States on June 4, 2021Size: 3.52 Ounce (Pack of 2)Verified Purchase  For me this is the best seasoning I have ever used.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
G,5.0,"April 6, 2021",the United States,One person found this helpful,"G5.0 out of 5 starsYummyReviewed in the United States on April 6, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Perfect spicy flavor that is delicious on so many things.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Seth Allison,5.0,"February 2, 2021",the United States,2 people found this helpful,"Seth Allison5.0 out of 5 starsGood kicking spicy 🌶 seasoningReviewed in the United States on February 2, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Matching good with all kinda American foodPizza was good too I’m saying alllllllll kinda food not just American food5.0 out of 5 stars                Good kicking spicy 🌶 seasoning                                                        By Seth Allison on February 2, 2021                                                                Matching good with all kinda American foodPizza was good too I’m saying alllllllll kinda food not just American food                        Images in this review            2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
J k,1.0,"April 27, 2021",the United States,0,"J k1.0 out of 5 starsNothing specialReviewed in the United States on April 27, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I don’t tasted that special very disappointed just like seasoning powder          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Melinda L. Carr,5.0,"January 25, 2021",the United States,2 people found this helpful,"Melinda L. Carr5.0 out of 5 starsSo much flavor!Reviewed in the United States on January 25, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Absolutely fabulous!  I’ve enjoyed sprinkling on my Just eggs, Beyond sausage patty andSour dough English muffin breakfast sandwich.  Sooo bomb!!!!!2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Cal Vincenzi,4.0,"September 11, 2020",the United States,One person found this helpful,"Cal Vincenzi4.0 out of 5 starsGreat addition to spice rackReviewed in the United States on September 11, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  Great flavor not like anything else I have. Can easily be used even after the item is fully cooked.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Jin,1.0,"May 12, 2021",the United States,One person found this helpful,"Jin1.0 out of 5 starsToo much sugar and zero calorie - the nutrition fact should be verified.Reviewed in the United States on May 12, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  The taste is too sweet so I checked the ingredient list. Sugar is the second largest ingredient in the list yet the calorie is ZERO. I don’t think it makes sense. Overpriced and well marketed powder. The nutrition fact should be verified!!One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Joan Gamell,5.0,"January 9, 2021",the United States,2 people found this helpful,"Joan Gamell5.0 out of 5 starsGreat flavour!!!Reviewed in the United States on January 9, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I love this!! I use this seasoning for a cucumber salad! (sesame oil, salt, this kimchi seasoning)2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
