국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,"3951
-6",1.8,83.6,103984,331002651,34419016,+12957,617444,+278,28764998,+53682
인도🇮🇳,8944,1.3,96.5,21720,1380004385,29973457,+8165,389268,+440,28913191,+18015
브라질🇧🇷,8318,2.8,90.3,84540,212559417,17969806,+41878,502817,+899,16220238,
프랑스🇫🇷,"1655
-48",1.9,96.7,88210,65273511,5757798,+487,110778,+40,5566434,+9848
터키🇹🇷,"808
-5",0.9,97.4,63738,84339067,5375593,+5294,49236,+51,5237731,+5093
러시아🇷🇺,2300,2.4,91.5,36552,145934462,5334204,,129801,,4878333,
영국🇬🇧,"223
+13",2.8,92.7,68357,67886011,4640507,+10467,127981,+5,4303996,+2011
아르헨티나🇦🇷,"7345
-21",2.1,91.4,94641,45195774,4277395,+8606,89490,+447,3910835,+20622
이탈리아🇮🇹,"385
-4",3.0,95.2,70350,60461826,4253460,+484,127291,+21,4049316,+11320
콜롬비아🇨🇴,8155,2.5,92.9,77991,50882891,3968405,+23239,100582,+648,3685947,+18786
스페인🇪🇸,793,2.1,94.6,80519,46754778,3764651,+7209,80689,+37,3560034,+15829
독일🇩🇪,1210,2.4,96.6,44526,83783942,3730599,+353,91007,+37,3605200,
이란🇮🇷,3258,2.7,88.9,36975,83992949,3105620,,83101,,2760229,
폴란드🇵🇱,242,2.6,92.1,76066,37846611,2878840,,74829,,2650648,
멕시코🇲🇽,4798,9.3,79.6,19214,128932753,2477283,,231187,,1971470,
우크라이나🇺🇦,177,2.3,96.5,50987,43733762,2229846,,52032,,2152140,
페루🇵🇪,2521,9.4,N/A,61556,32971854,2029625,,190425,,N/A,
인도네시아🇮🇩,N/A,2.7,89.9,7328,273523615,2004445,,54956,,1801761,
남아프리카 공화국🇿🇦,546,3.2,90.4,30897,59308690,1832479,+9160,58795,+93,1656680,+9177
네덜란드🇳🇱,193,1.1,N/A,98019,17134872,1679542,,17727,,N/A,
체코🇨🇿,8,1.8,98.0,155578,10708981,1666082,,30280,,1633162,
칠레🇨🇱,"3236
+6",2.1,95.4,79630,19116201,1522223,+5205,31645,+132,1452108,+6405
캐나다🇨🇦,"535
-32",1.9,97.4,37348,37742154,1409607,+771,26084,+8,1372491,+1491
필리핀🇵🇭,2029,1.7,94.2,12450,109581078,1364239,,23749,,1284643,
이라크🇮🇶,539,1.3,93.2,32139,40222493,1292700,,16910,,1204879,
스웨덴🇸🇪,71,1.3,N/A,107398,10099265,1084636,,14537,,N/A,
루마니아🇷🇴,158,3.0,96.8,56154,19237691,1080282,,32391,,1045207,
벨기에🇧🇪,212,2.3,94.2,93136,11589623,1079415,,25136,,1016574,
파키스탄🇵🇰,2238,2.3,94.1,4297,220892340,949175,,22007,,893148,
포르투갈🇵🇹,97,2.0,94.7,84910,10196709,865806,+756,17068,+3,820081,+393
방글라데시🇧🇩,1217,1.6,91.7,5200,164689383,856304,,13626,,785482,
이스라엘🇮🇱,24,0.8,99.2,97047,8655535,839990,+123,6428,,833061,
헝가리🇭🇺,37,3.7,91.1,83603,9660351,807630,,29959,,735574,
일본🇯🇵*,718,1.8,95.3,6214,126476461,785969,,14439,,749282,
요르단🇯🇴,470,1.3,97.8,73213,10203134,747000,+520,9671,+9,730831,+646
세르비아🇷🇸,21,1.0,98.6,81929,8737371,715841,,7004,,705988,
스위스🇨🇭,64,1.5,96.4,81112,8654622,701994,,10875,+3,676494,
말레이시아🇲🇾,880,0.6,90.4,21659,32365999,701019,,4477,,633624,
오스트리아🇦🇹,80,1.6,98.0,72134,9006398,649670,,10680,,636365,
네팔🇳🇵,N/A,1.4,89.9,21370,29136808,622640,,8772,,559928,
아랍에미레이트🇦🇪,N/A,0.3,96.6,62080,9890402,613993,,1763,,592984,
레바논🇱🇧,67,1.4,97.6,79636,6825445,543551,+46,7825,+3,530393,+775
모로코🇲🇦,107,1.8,97.6,14271,36910560,526737,+86,9244,+6,513898,+217
사우디아라비아🇸🇦,1489,1.6,96.2,13656,34813871,475403,,7691,,457128,
에콰도르🇪🇨,"453
-3",4.8,93.0,25315,17643054,446633,+192,21304,+11,415508,
볼리비아🇧🇴,200,3.8,80.3,36156,11673021,422047,,16132,,339104,
불가리아🇧🇬,"200
-7",4.3,93.4,60611,6948445,421152,+120,18000,+10,393186,+370
그리스🇬🇷,"283
-13",3.0,95.5,40156,10423054,418548,+206,12559,+17,399878,+872
벨라루스🇧🇾,N/A,0.7,98.3,43511,9449323,411153,,3053,,404025,
카자흐스탄🇰🇿,221,1.0,94.0,21813,18776707,409580,,4242,,385043,
파라과이🇵🇾,"577
+6",2.9,85.0,57164,7132538,407721,+1501,11743,+110,346646,+2687
파나마🇵🇦,105,1.6,95.7,91370,4314767,394241,+514,6477,+2,377243,+482
슬로바키아🇸🇰,35,3.2,96.6,71676,5459642,391326,,12496,,377959,
튀니지🇹🇳,"484
+60",3.7,87.3,32612,11818619,385428,+2478,14118,+80,336652,+3690
크로아티아🇭🇷,19,2.3,97.6,87493,4105267,359184,,8182,,350467,
조지아🇬🇪,N/A,1.4,96.2,90029,3989167,359141,,5175,,345582,
우루과이🇺🇾,"379
-16",1.5,91.7,102593,3473730,356382,+1517,5316,+45,326871,+3377
코스타리카🇨🇷,"459
-13",1.3,78.6,69511,5094118,354095,+3465,4530,+57,278225,+6097
쿠웨이트🇰🇼,"227
+23",0.6,94.2,79841,4270571,340967,+1935,1877,+7,321293,+1408
아제르바이잔🇦🇿,N/A,1.5,98.2,33092,10139177,335521,,4963,,329599,
도미니카 공화국🇩🇴,465,1.2,81.7,29282,10847910,317645,+858,3758,+2,259649,+1476
팔레스타인🇵🇸,"8
-1",1.1,97.9,61318,5101414,312811,+138,3554,+3,306312,+72
덴마크🇩🇰,17,0.9,97.6,50378,5792202,291801,,2531,,284752,
과테말라🇬🇹,5,3.1,90.7,15677,17915568,280854,+347,8735,+41,254700,+760
리투아니아🇱🇹,56,1.6,95.4,102269,2722289,278407,,4367,,265633,
이집트🇪🇬,90,5.7,74.2,2715,102334404,277797,+509,15898,+39,206053,+440
에티오피아🇪🇹,"204
+3",1.6,92.8,2395,114963588,275318,+124,4286,+3,255502,+554
아일랜드🇮🇪,"13
-2",1.8,94.1,54543,4937786,269321,+273,4979,+38,253326,+381
바레인🇧🇭,"164
-1",0.5,96.8,154736,1701575,263295,+403,1311,+5,254913,+1003
베네수엘라🇻🇪,287,1.1,92.4,9169,28435940,260740,,2958,,240933,
슬로베니아🇸🇮,35,1.7,97.7,123621,2078938,257001,,4415,,251024,
몰도바🇲🇩,"56
+2",2.4,97.3,63508,4033963,256187,+47,6173,+3,249216,+39
온두라스🇭🇳,542,2.7,36.1,25632,9904607,253875,,6766,,91728,
오만🇴🇲,428,1.1,87.9,49068,5106626,250572,,2741,,220171,
스리랑카🇱🇰,N/A,1.1,83.3,11293,21413249,241820,+2131,2633,+52,201389,
아르메니아🇦🇲,N/A,2.0,96.4,75678,2963243,224253,,4499,,216112,
태국🇹🇭,1436,0.7,84.0,3171,69799978,221306,,1658,,185789,
카타르🇶🇦,74,0.3,98.9,76684,2881053,220930,,583,,218435,
보스니아 헤르체고비나🇧🇦,N/A,4.7,88.0,62442,3280819,204860,+46,9643,+13,180245,+387
리비아🇱🇾,N/A,1.7,92.4,27802,6871292,191038,,3178,,176450,
케냐🇰🇪,113,1.9,68.6,3334,53771296,179293,+218,3461,+5,122965,+261
쿠바🇨🇺,"161
+15",0.7,94.3,14953,11326616,169365,+1561,1170,+11,159775,+1287
나이지리아🇳🇬,11,1.3,97.9,812,206139589,167292,+86,2118,+1,163797,+240
북마케도니아🇲🇰,25,3.5,96.3,74700,2083374,155627,,5477,,149877,
대한민국🇰🇷,"135
-2",1.3,94.7,2963,51269185,151901,+395,2006,+2,143817,+549
미얀마🇲🇲,N/A,2.2,90.0,2731,54409800,148617,+595,3265,+3,133753,+147
라트비아🇱🇻,42,1.8,97.0,72553,1886198,136850,,2496,,132721,
알제리🇩🇿,29,2.7,69.6,3108,43851044,136294,+473,3641,+10,94822,+251
알바니아🇦🇱,3,1.9,98.1,46039,2877797,132491,+1,2455,+1,129929,+11
에스토니아🇪🇪,5,1.0,96.8,98616,1326535,130818,,1268,,126696,
잠비아🇿🇲,1023,1.3,84.6,7106,18383955,130631,,1691,,110450,
노르웨이🇳🇴,7,0.6,68.7,23896,5421241,129545,+212,790,,88952,
