시군구,의료기관명,진료과수,병상수,전화번호,주소,Latitude,Longitude,국민안심병원 여부,감염병전담기관 여부,감염병전담기관 외래진료 가능여부
강원도 강릉시,강릉동인병원,21,608,033-651-6167,강원도 강릉시 강릉대로419번길 42 (포남동),37.7743397,128.9070484,,,
강원도 강릉시,박정빈외과의원,1,0,033-643-0080,강원도 강릉시 경강로2109,37.7556564,128.8971525,,,
강원도 강릉시,이명호내과의원,1,0,033-645-7747,"강원도 강릉시 솔올로 5번길40, 2층",37.7636095,128.8758569,,,
강원도 고성군,세브란의원,4,0,033-682-7755,거진읍 거진시장길11,38.4475128,128.4547501,,,
강원도 동해시,근로복지공단동해병원,10,499,033-530-3100,강원도 동해시 동해대로 3310,37.5311952,129.1068506,Y,,
강원도 동해시,동해동인병원,12,595,033-532-3006,강원도 동해시 하평로 26 (평릉동),37.5301401,129.1073994,,,
강원도 삼척시,삼척의료원,13,125,033-572-1141,강원도 삼척시 오십천로 418 (남양동),37.4398318,129.1633551,,,
강원도 속초시,속초의료원,14,143,033-632-6821,강원도 속초시 영랑호반길 3 (영랑동),38.2164098,128.5885347,,,
강원도 양구군,의료법인 성심의료재단 양구성심병원,4,49,033-480-8800,강원도 양구군 양구읍 중심로 160,38.1045016,127.9911494,,,
강원도 양양군,양양정형외과,1,24,033-672-6722,강원도 양양군 양양읍 양양로 9-1,38.078381,128.6271749,,,
강원도 영월군,영월의료원,14,190,033-370-9101,강원도 영월군 영월읍 중앙1로 59,37.1865308,128.4651096,,,
강원도 원주시,연세대학교 원주기독병원,24,819,033-741-0114,강원도 원주시 일산로 20(일산동),37.348469,127.9451839,,,
강원도 원주시,연세메디하임병원,4,265,033-740-8800,강원도 원주시 문막읍 원문로 1419,37.3259775,127.844858,,,
강원도 원주시,바른요양병원,2,124,033-762-0100,강원도 원주시 판부면 치악로 1139,37.2931026,127.9906329,,,
강원도 원주시,현대중앙병원,3,79,033-747-1199,강원도 원주시 상지대길 23 (우산동),37.3691652,127.938878,,,
