날짜,시간,지역,Latitude,Longitude
2021/01/02,15:52:46,[계양구청],37.537367,126.737744
2021/01/03,9:16:11,[서천군청],36.0803437,126.6917943
2021/01/04,10:36:57,[남동구청],37.4470653,126.7314616
2021/01/05,17:59:14,[양양군청],38.0753921,128.6191279
2021/01/05,17:36:53,[진주시청],35.1803062,128.1087476
2021/01/05,9:58:20,[창원시청],35.2279868,128.6818143
2021/01/06,19:52:14,[김포시청],37.6153488,126.715451
2021/01/06,18:16:44,[포항시청],36.0191816,129.3432983
2021/01/06,15:24:02,[김포시청],37.6153488,126.715451
2021/01/06,9:00:09,[제천시청],37.1325821,128.1909478
2021/01/07,18:58:41,[전남도청],34.8162186,126.4629242
2021/01/07,18:01:25,[김포시청],37.6153488,126.715451
2021/01/07,11:26:30,[진주시청],35.1803062,128.1087476
2021/01/08,12:41:51,[고양시청],37.6582159,126.8320138
2021/01/10,10:46:32,[남동구청],37.4470653,126.7314616
2021/01/10,10:29:40,[산청군청],35.4155318,127.8734874
2021/01/11,13:43:49,[산청군청],35.4155318,127.8734874
2021/01/11,10:35:36,[남동구청],37.4470653,126.7314616
2021/01/12,10:27:31,[합천군청],35.5666931,128.1658708
2021/01/12,9:58:50,[중랑구청],37.60656,127.092624
2021/01/12,9:28:00,[산청군청],35.4155318,127.8734874
2021/01/13,18:30:19,[김포시청],37.6153488,126.715451
2021/01/13,15:11:58,[구미시청],36.119624,128.344295
2021/01/13,10:28:47,[산청군청],35.4155318,127.8734874
2021/01/14,17:01:54,[남동구청],37.4470653,126.7314616
2021/01/14,10:37:32,[남동구청],37.4470653,126.7314616
2021/01/14,9:54:35,[산청군청],35.4155318,127.8734874
2021/01/15,11:47:21,[산청군청],35.4155318,127.8734874
2021/01/15,11:24:33,[밀양시청],35.5037598,128.7464415
2021/01/16,10:10:11,[산청군청],35.4155318,127.8734874
2021/01/17,13:39:48,[삼척시청],37.4499796,129.1654335
2021/01/17,9:59:31,[태백시청],37.1640654,128.9855649
2021/01/18,15:40:36,[계양구청],37.537367,126.737744
2021/01/18,10:31:13,[남동구청],37.4470653,126.7314616
2021/01/20,18:43:22,[도봉구청],37.6687735,127.047071
2021/01/20,18:23:34,[고양시청],37.6582159,126.8320138
2021/01/20,14:13:53,[하동군청],35.0672107,127.7512686
2021/01/20,12:24:12,[삼척시청],37.4499796,129.1654335
2021/01/21,17:07:47,[남동구청],37.4470653,126.7314616
2021/01/22,15:49:20,[하동군청],35.0672107,127.7512686
2021/01/22,10:40:44,[남동구청],37.4470653,126.7314616
2021/01/23,16:40:31,[부산시],35.1795543,129.0756416
2021/01/23,13:29:16,[고양시청],37.6582159,126.8320138
2021/01/23,10:35:05,[남동구청],37.4470653,126.7314616
2021/01/24,10:29:36,[남동구청],37.4470653,126.7314616
2021/01/25,17:05:54,[남동구청],37.4470653,126.7314616
2021/01/25,14:54:07,[도봉구청],37.6687735,127.047071
2021/01/25,10:48:42,[예천군청],36.6466897,128.4374378
2021/01/25,9:20:31,[하동군청],35.0672107,127.7512686
2021/01/26,13:20:15,[성남시청],37.4200958,127.126659
2021/01/26,12:16:43,[화순군청],35.0644478,126.9866463
2021/01/26,11:42:34,[곡성군청],35.2820105,127.2920564
2021/01/26,10:37:07,[남동구청],37.4470653,126.7314616
2021/01/26,9:39:46,[홍천군청],37.6970355,127.8888215
2021/01/27,18:16:23,[화순군청],35.0644478,126.9866463
2021/01/27,17:28:38,[남동구청],37.4470653,126.7314616
2021/01/27,15:54:17,[진주시청],35.1803062,128.1087476
2021/01/27,15:30:10,[남양주시청],37.636003,127.216528
2021/01/27,13:34:51,[남동구청],37.4470653,126.7314616
2021/01/27,13:33:07,[남동구청],37.4470653,126.7314616
2021/01/27,9:26:30,[홍천군청],37.6970355,127.8888215
2021/01/28,16:07:37,[하동군청],35.0672107,127.7512686
2021/01/28,10:44:55,[남동구청],37.4470653,126.7314616
2021/01/29,17:53:22,[하동군청],35.0672107,127.7512686
2021/01/30,14:48:08,[하동군청],35.0672107,127.7512686
2021/01/31,11:33:53,[화순군청],35.0644478,126.9866463
2021/02/01,10:59:34,[중랑구청],37.60656,127.092624
2021/02/02,11:56:59,[거제시청],34.8805111,128.6212128
2021/02/04,14:16:35,[태백시청],37.1640654,128.9855649
2021/02/04,11:33:11,[거제시청],34.8805111,128.6212128
2021/02/05,8:33:43,[거제시청],34.8805111,128.6212128
2021/02/09,19:20:44,[완도군청],34.3109776,126.7550754
2021/02/09,18:30:40,[성남시청],37.4200958,127.126659
2021/02/09,17:47:23,[도봉구청],37.6687735,127.047071
2021/02/10,13:34:09,[부천시청],37.504681,126.763618
2021/02/10,11:46:54,[충주시청],36.9909318,127.9257875
2021/02/11,16:53:49,[정읍시청],35.5698504,126.8560358
2021/02/11,15:03:23,[충주시청],36.9909318,127.9257875
2021/02/11,10:19:02,[충주시청],36.9909318,127.9257875
2021/02/12,8:54:31,[속초시청],38.2070173,128.5918624
2021/02/13,19:02:20,[고성군청],38.3806296,128.4678275
2021/02/13,11:44:47,[화순군청],35.0644478,126.9866463
2021/02/13,10:57:20,[청양군청],36.4591572,126.8022596
2021/02/14,10:40:03,[고양시청],37.6582159,126.8320138
2021/02/14,9:29:43,[청양군청],36.4591572,126.8022596
2021/02/15,17:53:22,[동대문구청],37.5744155,127.0397427
2021/02/15,15:56:57,[충주시청],36.9909318,127.9257875
2021/02/15,12:11:43,[도봉구청],37.6687735,127.047071
2021/02/15,9:21:42,[청양군청],36.4591572,126.8022596
2021/02/16,15:39:26,[도봉구청],37.6687735,127.047071
2021/02/16,9:39:38,[청양군청],36.4591572,126.8022596
2021/02/17,9:54:13,[청양군청],36.4591572,126.8022596
2021/02/18,17:41:44,[청양군청],36.4591572,126.8022596
2021/02/18,10:53:15,[영주시청],36.805692,128.62396
2021/02/18,10:39:59,[성남시청],37.4200958,127.126659
2021/02/19,17:43:48,[영주시청],36.805692,128.62396
