accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,sido,totalFirstCnt,totalSecondCnt
449535,0,2021-03-11 00:00:00,51100,0,전국,500635,0
61232,0,2021-03-11 00:00:00,12595,0,서울특별시,73827,0
36734,0,2021-03-11 00:00:00,3311,0,부산광역시,40045,0
23101,0,2021-03-11 00:00:00,2310,0,대구광역시,25411,0
23879,0,2021-03-11 00:00:00,1791,0,인천광역시,25670,0
20280,0,2021-03-11 00:00:00,2403,0,광주광역시,22683,0
12573,0,2021-03-11 00:00:00,1952,0,대전광역시,14525,0
8836,0,2021-03-11 00:00:00,434,0,울산광역시,9270,0
794,0,2021-03-11 00:00:00,66,0,세종특별자치시,860,0
95915,0,2021-03-11 00:00:00,9961,0,경기도,105876,0
12163,0,2021-03-11 00:00:00,2627,0,강원도,14790,0
14207,0,2021-03-11 00:00:00,1167,0,충청북도,15374,0
21895,0,2021-03-11 00:00:00,2379,0,충청남도,24274,0
22684,0,2021-03-11 00:00:00,2485,0,전라북도,25169,0
23030,0,2021-03-11 00:00:00,2718,0,전라남도,25748,0
26070,0,2021-03-11 00:00:00,2365,0,경상북도,28435,0
41812,0,2021-03-11 00:00:00,2036,0,경상남도,43848,0
4330,0,2021-03-11 00:00:00,500,0,제주특별자치도,4830,0
503750,0,2021-03-12 00:00:00,42527,0,전국,546277,0
74892,0,2021-03-12 00:00:00,10972,0,서울특별시,85864,0
40159,0,2021-03-12 00:00:00,2620,0,부산광역시,42779,0
25500,0,2021-03-12 00:00:00,1834,0,대구광역시,27334,0
26254,0,2021-03-12 00:00:00,2294,0,인천광역시,28548,0
14528,0,2021-03-12 00:00:00,1482,0,대전광역시,16010,0
22804,0,2021-03-12 00:00:00,1439,0,광주광역시,24243,0
860,0,2021-03-12 00:00:00,201,0,세종특별자치시,1061,0
9270,0,2021-03-12 00:00:00,429,0,울산광역시,9699,0
106518,0,2021-03-12 00:00:00,9516,0,경기도,116034,0
14830,0,2021-03-12 00:00:00,2314,0,강원도,17144,0
15404,0,2021-03-12 00:00:00,770,0,충청북도,16174,0
24285,0,2021-03-12 00:00:00,1246,0,충청남도,25531,0
25175,0,2021-03-12 00:00:00,1050,0,전라북도,26225,0
26091,0,2021-03-12 00:00:00,2202,0,전라남도,28293,0
28439,0,2021-03-12 00:00:00,2158,0,경상북도,30597,0
43911,0,2021-03-12 00:00:00,1452,0,경상남도,45363,0
4830,0,2021-03-12 00:00:00,548,0,제주특별자치도,5378,0
547974,0,2021-03-13 00:00:00,35684,0,전국,583658,0
86342,0,2021-03-13 00:00:00,9654,0,서울특별시,95996,0
42863,0,2021-03-13 00:00:00,2748,0,부산광역시,45611,0
27449,0,2021-03-13 00:00:00,1435,0,대구광역시,28884,0
28560,0,2021-03-13 00:00:00,2041,0,인천광역시,30601,0
24256,0,2021-03-13 00:00:00,1060,0,광주광역시,25316,0
16073,0,2021-03-13 00:00:00,1210,0,대전광역시,17283,0
1061,0,2021-03-13 00:00:00,85,0,세종특별자치시,1146,0
116706,0,2021-03-13 00:00:00,9001,0,경기도,125707,0
9700,0,2021-03-13 00:00:00,471,0,울산광역시,10171,0
17145,0,2021-03-13 00:00:00,1336,0,강원도,18481,0
16183,0,2021-03-13 00:00:00,569,0,충청북도,16752,0
25533,0,2021-03-13 00:00:00,769,0,충청남도,26302,0
26225,0,2021-03-13 00:00:00,636,0,전라북도,26861,0
28379,0,2021-03-13 00:00:00,1608,0,전라남도,29987,0
30753,0,2021-03-13 00:00:00,1468,0,경상북도,32221,0
45366,0,2021-03-13 00:00:00,1236,0,경상남도,46602,0
5380,0,2021-03-13 00:00:00,357,0,제주특별자치도,5737,0
584397,0,2021-03-14 00:00:00,3487,0,전국,587884,0
96073,0,2021-03-14 00:00:00,1704,0,서울특별시,97777,0
45681,0,2021-03-14 00:00:00,187,0,부산광역시,45868,0
28884,0,2021-03-14 00:00:00,134,0,대구광역시,29018,0
25320,0,2021-03-14 00:00:00,109,0,광주광역시,25429,0
30647,0,2021-03-14 00:00:00,79,0,인천광역시,30726,0
17283,0,2021-03-14 00:00:00,66,0,대전광역시,17349,0
10171,0,2021-03-14 00:00:00,0,0,울산광역시,10171,0
1146,0,2021-03-14 00:00:00,0,0,세종특별자치시,1146,0
126067,0,2021-03-14 00:00:00,744,0,경기도,126811,0
18481,0,2021-03-14 00:00:00,72,0,강원도,18553,0
16752,0,2021-03-14 00:00:00,35,0,충청북도,16787,0
26314,0,2021-03-14 00:00:00,0,0,충청남도,26314,0
26861,0,2021-03-14 00:00:00,57,0,전라북도,26918,0
30154,0,2021-03-14 00:00:00,41,0,전라남도,30195,0
32224,0,2021-03-14 00:00:00,127,0,경상북도,32351,0
46602,0,2021-03-14 00:00:00,132,0,경상남도,46734,0
5737,0,2021-03-14 00:00:00,0,0,제주특별자치도,5737,0
587884,0,2021-03-15 00:00:00,1074,0,전국,588958,0
97777,0,2021-03-15 00:00:00,900,0,서울특별시,98677,0
45868,0,2021-03-15 00:00:00,0,0,부산광역시,45868,0
29018,0,2021-03-15 00:00:00,10,0,대구광역시,29028,0
17349,0,2021-03-15 00:00:00,0,0,대전광역시,17349,0
30726,0,2021-03-15 00:00:00,8,0,인천광역시,30734,0
25429,0,2021-03-15 00:00:00,11,0,광주광역시,25440,0
1146,0,2021-03-15 00:00:00,0,0,세종특별자치시,1146,0
10171,0,2021-03-15 00:00:00,0,0,울산광역시,10171,0
126811,0,2021-03-15 00:00:00,92,0,경기도,126903,0
18553,0,2021-03-15 00:00:00,0,0,강원도,18553,0
16787,0,2021-03-15 00:00:00,0,0,충청북도,16787,0
26314,0,2021-03-15 00:00:00,22,0,충청남도,26336,0
26918,0,2021-03-15 00:00:00,0,0,전라북도,26918,0
